"Street/Name","Zipcode","Invited","Turnout","X","Y"
" Cultureel Centrum De Mayboom","4921BB","2039",918,114025.995208078,410382.00074862
" Cultureel Centrum de Mortel","6014AN","1414",515,185665.992077344,353794.182514191
" Cultureel Centrum Meneer de Wit","1057HS","1574",433,119105,486515
" Cultureel Centrum NoLimit","1103BG","1411",1107,126686,481806
" Culturele Stichting Konya","1067CE","0",870,115440.481,488176.24
" Cultuurgebouw Zinder","4001JR","2249",1717,158409.258400827,432888.873482562
" Cultuurhuis De Eendracht","5421KC","1546",604,176147.933140965,396584.770404697
" Cultuurhuis Garenspinnerij","2802BC","2250",529,108159.277406084,446880.028621104
" Cultuurhuis Heerlen","6412CD","1839",691,196046.282866348,323423.192081605
" Cultuurhuis Pater Dekker (groot)","6961XL","925",334,200810.320430419,457451.247295926
" Cultuurhuis Pater Dekker (klein)","6961XB","986",346,0,0
" Cultuurhuis Stadshagen","8043LT","1840",2144,200426.573163457,505205.267364183
" Cultuurhuus Braakhekke","7437AE","0",1748,216419.912177001,473864.890453164
" Cultuurhuys De Kroon","2741MW","1846",750,104507.667466837,450634.591539487
" Curio Prinsentuin College","4816KA","408",83,114508.444699202,401375.013304915
" Curio scala","4847EJ","767",279,116285.984722285,402231.093601758
" Curio Terheijdenseweg","4826AA","1124",78,112941.830125429,401787.239250118
" CVV de Jodan Boys","2806HC","1557",394,110203.14501834,447054.962414938
" D'n Boerderij restaurant","5232NJ","945",1066,150310.300116963,413020.100415544
" D'n Bork","5253AG","876",227,140284.040493416,411251.772678201
" D'n Elshof","5154AK","0",968,137934.919951442,412354.47027443
" D1 Gemeentehuis","2741HS","0",741,104795.238580893,450916.19783882
" D10 Voormalig schoolgebouw Wingerd 45","2742SC","0",330,104260.768476661,452266.563530585
" D14 De Morgenster","2743LW","0",580,103208.66747057,449854.65655095
" Dalton IKC De Overlaat","6916CD","1765",472,204298.000036691,429540.000529383
" Dansschool Salsa in Breda","4814GH","2250",154,111434.013835773,399591.563782783
" DAS","7784CG","693",419,240146.498426916,514526.284393058
" de Agnietenkapel","2801GR","684",1010,108582.228515789,447402.286720455
" De Alkenhorst","1816LG","1720",772,110119.736777859,515980.719640581
" De Ark","6715JM","0",2278,172122.000474907,450168.001053097
" De Banninghal","3769AA","0",568,148128.750328424,459327.193969707
" De Batavier","2912SG","1613",562,101910.994578519,442166.003083929
" De Betuwepoort","4152EG","702",416,138722.000412102,432538.000519643
" De Bierton","8017BM","1840",1012,202707.54643841,501111.812344622
" De Binnenhof","2266AS","1338",718,87148.1848190834,455042.067446394
" De Blije Mare (2)","1826DN","1346",2406,112545.986701547,518804.181535339
" De Bogt Westerbeer","1013VW","3606",702,120358,489139
" De Bombardon ","6093GA","0",2047,190869.831622338,362491.733133745
" De Boomkerk","1055NK","1213",747,118480,488544
" De Boschbloem (ma)","2252EA","0",2206,89943.5450618903,459769.352444567
" De Brink","6721WR","0",910,174664.000382525,445842.000257606
" De Broek-Akker","6721TN","0",213,174481.971462402,445410.42060879
" De Bron","8271BB","1371",848,192069.775990696,508707.049957436
